Absolute Time,PosXLeft,PosYLeft,R2_continuous,select ,alpha_VSP1,Current Mode ,omega_VSP1,u_BT,u_VSP1,f_bt,f_vspx,f_vspy,tau_x,tau_y,tau_yaw
3568703462.377716,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.387715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.397714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.407714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.417714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.427713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.437716,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.447714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.457714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.467715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.477713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.487712,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.497715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.507716,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.517713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.527714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.537713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.547713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.557715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.567715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.577713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.587713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.597713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.607713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.617715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.627715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.637712,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.647713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.657713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.667713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.677715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.687715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.697712,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.707714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.717712,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.727713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.737715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.747715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.757713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.767714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.777715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.787714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.797716,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.807715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.817714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.827713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.837713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.847714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.857716,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.867714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.877712,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.887713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.897715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.907713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.917715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.927715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.937713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.947713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.957715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.967713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.977715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.987715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703462.997713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.007713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.017714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.027713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.037714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.047715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.057713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.067715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.077713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.087714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.097715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.107715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.117713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.127715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.137713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.147714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.157715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.167715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.177714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.187714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.197713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.207713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.217715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.227715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.237714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.247713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.257713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.267713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.277715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.287714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.297713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.307713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.317713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.327713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.337715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.347714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.357713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.367712,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.377713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.387713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.397715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.407715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.417714,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.427713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.437712,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.447713,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
3568703463.457715,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,0.300000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000
