PosXLeft,PosYLeft,R2_continuous,select ,alpha_VSP1,omega_VSP1,Select ,u_BT,u_VSP1,Absolute Time
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.779762
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.789760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.799760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.809761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.819759
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.829761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.839761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.849763
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.859751
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.869760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.879761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.889759
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.899762
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.909760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.919759
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.929762
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.939760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.949759
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.959751
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.969759
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.979762
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.989761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634341.999760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.009759
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.019761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.029760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.039760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.049761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.059751
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.069759
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.079763
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.089762
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.099759
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.109761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.119762
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.129762
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.139761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.149761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.159750
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.169760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.179760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.189761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.199761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.209759
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.219759
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.229761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.239759
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.249760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.259751
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.269760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.279761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.289760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.299760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.309759
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.319762
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.329760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.339759
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.349760
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.359751
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.369761
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.379763
0.000000,0.000000,-1.000000,0.000000,NaN,0.300000,2.000000,0.000000,0.000000,3568634342.389760
